,Product Name,Price,Net,Brand,IMG1,IMG2,IMG3,IMG4,Sold By
66,Morrisons Gound Cinnamon,$2.85,37g,MORRISONS,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212661_XL1_20220128.jpg?w=1200&q=70,None,None,None,Cartons & Variety DS
67,Morrisons Grissini Mini Breadsticks with Olive Oil,$1.95,100g,MORRISONS,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13213499_XL1_20220526.jpg?w=1200&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13213499_LXL1_20220526.jpg?w=108&q=70,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13213499_BXL1_20220526.jpg?w=108&q=70,None,Cartons & Variety DS
68,Morrisons Ground Ginger,$2.85,38g,MORRISONS,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/13212665_XL1_20220128.jpg?w=1200&q=70,None,None,None,Cartons & Variety DS
69,Marks & Spencer Chocolate Cornflake Mini Bites,$12.90,180 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153634_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
70,Marks & Spencer Chocolate Brownie Mini Bites,$12.90,235 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153631_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
71,Marks & Spencer Pistachio & Almond Cookies,$7.50,200 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154033_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
72,Marks & Spencer Jam Sandwich Creams,$4.30,150 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154004_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
73,Marks & Spencer Almond Biscuits,$4.30,200 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154011_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
74,Marks & Spencer Caramel Crispy Mini Bites,$12.90,195 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153632_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
75,Marks & Spencer Cream of Mushroom Soup,$4.30,400 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153680_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
76,Marks & Spencer Butternut Squash & Sweet Potato Soup,$4.30,400 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153689_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
77,Marks & Spencer Collection 9 Mini Mince Pies,$13.90,256 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153875_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
78,Marks & Spencer Creamy Mushroom Cup Soup,$4.30,104 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153626_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
79,Marks & Spencer Chunky Vegetable Soup,$4.30,400 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153685_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
80,Marks & Spencer Triple Belgian Chocolate Chunk Cookies,$7.50,200 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90154031_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
81,Marks & Spencer Tomato & Basil Soup,$4.30,400 G,Marks & Spencer,https://media.nedigital.sg/fairprice/fpol/media/images/product/XL/90153677_XL1_20221202.jpg?w=1200&q=70,None,None,None,Marks & Spencer
